"File Names",Article,References,Reviewer,Category,"String Cite"
"Science 14","D. Gosselin, D. Skola, N. G. Coufal, I. R. Holtman, J. C. M. Schlachetzki, E. Sajti, B. N. Jaeger, C. O'Connor, C. Fitzpatrick, M. P. Pasillas, M. Pena, A. Adair, D. D. Gonda, M. L. Levy, R. M. Ransohoff, F. H. Gage and C. K. Glass	2017	An environment-dependent transcriptional network specifies human microglia identity		Science			356		6344						Jun			An environment-dependent transcriptional network specifies human microglia identity		0036-8075										eaal3222		WOS:000403881700031					Times Cited: 141","     Welter D, 2014, NUCLEIC ACIDS RES, V42, pD1001, DOI 10.1093/nar/gkt1229",Neal,Unsubstantiated,No
"Science 15","Z. Guo, Y. Wan, M. J. Yang, J. Snaider, K. Zhu and L. B. Huang	2017	Long-range hot-carrier transport in hybrid perovskites visualized by ultrafast microscopy		Science			356		6333	59-+					Apr			Long-range hot-carrier transport in hybrid perovskites visualized by ultrafast microscopy		0036-8075												WOS:000398689100036					Times Cited: 95","     Lock D, 2015, NAT COMMUN, V6, DOI 10.1038/ncomms9365",Aaron,"Fully Substantiated",Yes
"Science 16","B. B. He, B. Hu, H. W. Yen, G. J. Cheng, Z. K. Wang, H. W. Luo and M. X. Huang	2017	High dislocation density-induced large ductility in deformed and partitioned steels		Science			357		6355	1029-1032					Sep			High dislocation density-induced large ductility in deformed and partitioned steels		0036-8075												WOS:000409455700042					Times Cited: 93","     Garcia-Mateo C, 2005, MATER TRANS, V46, P1839, DOI 10.2320/matertrans.46.1839",Neal,"Impossible to Substantiate",No
"Science 17","Q. L. He, L. Pan, A. L. Stern, E. C. Burks, X. Y. Che, G. Yin, J. Wang, B. Lian, Q. Zhou, E. S. Choi, K. C. Murata, X. F. Kou, Z. J. Chen, T. X. Nie, Q. M. Shao, Y. B. Fan, S. C. Zhang, K. Liu, J. Xia and K. L. Wang	2017	Chiral Majorana fermion modes in a quantum anomalous Hall insulator-superconductor structure		Science			357		6348	294-299					Jul			Chiral Majorana fermion modes in a quantum anomalous Hall insulator-superconductor structure		0036-8075												WOS:000405901600039					Times Cited: 124","     Wang J, 2015, PHYS REV B, V92, DOI 10.1103/PhysRevB.92.064520",Aaron,"Fully Substantiated",Yes
"Science 18","Q. L. He, L. Pan, A. L. Stern, E. C. Burks, X. Y. Che, G. Yin, J. Wang, B. Lian, Q. Zhou, E. S. Choi, K. C. Murata, X. F. Kou, Z. J. Chen, T. X. Nie, Q. M. Shao, Y. B. Fan, S. C. Zhang, K. Liu, J. Xia and K. L. Wang	2017	Chiral Majorana fermion modes in a quantum anomalous Hall insulator-superconductor structure		Science			357		6348	294-299					Jul			Chiral Majorana fermion modes in a quantum anomalous Hall insulator-superconductor structure		0036-8075												WOS:000405901600039					Times Cited: 124","     Xu JP, 2015, PHYS REV LETT, V114, DOI 10.1103/PhysRevLett.114.017001",Neal,"Fully Substantiated",Yes
"Science 19","E. F. Hui, J. Cheung, J. Zhu, X. L. Su, M. J. Taylor, H. A. Wallweber, D. K. Sasmal, J. Huang, J. M. Kim, I. Mellman and R. D. Vale	2017	T cell costimulatory receptor CD28 is a primary target for PD-1-mediated inhibition		Science			355		6332	1428-+					Mar			T cell costimulatory receptor CD28 is a primary target for PD-1-mediated inhibition		0036-8075												WOS:000397809500044					Times Cited: 211","     Sheppard KA, 2004, FEBS LETT, V574, P37, DOI 10.1016/j.febslet.2004.07.083",Aaron,"Fully Substantiated",Yes
"Science 20","M. M. Kasliwal, E. Nakar, L. P. Singer, D. L. Kaplan, D. O. Cook, A. Van Sistine, R. M. Lau, C. Fremling, O. Gottlieb, J. E. Jencson, S. M. Adams, U. Feindt, K. Hotokezaka, S. Ghosh, D. A. Perley, P. C. Yu, T. Piran, J. R. Allison, G. C. Anupama, A. Balasubramanian, K. Wbannister, J. Bally, J. Barnes, S. Barway, E. Bellm, V. Bhalerao, D. Bhattacharya, N. Blagorodnova, J. S. Bloom, P. R. Brady, C. Cannella, D. Chatterjee, S. B. Cenko, B. E. Cobb, C. Copperwheat, A. Corsi, K. De, D. Dobie, S. W. K. Emery, P. A. Evans, O. D. Fox, D. A. Frail, C. Frohmaier, A. Goobar, G. Hallinan, F. Harrison, G. Helou, T. Hinderer, A. Y. Q. Ho, A. Horesh, W. H. Ip, R. Itoh, D. Kasen, H. Kim, N. P. M. Kuin, T. Kupfer, C. Lynch, K. Madsen, P. A. Mazzali, A. A. Miller, K. Mooley, T. Murphy, C. C. Ngeow, D. Nichols, S. Nissanke, P. Nugent, E. O. Ofek, H. Qi, R. M. Quimby, S. Rosswog, F. Rusu, E. M. Sadler, P. Schmidt, J. Sollerman, I. Steele, A. R. Williamson, Y. Xu, L. Yan, Y. Yatsu, C. Zhang and W. Zhao	2017	Illuminating gravitational waves: A concordant picture of photons from a neutron star merger		Science			358		6370	1559-+					Dec			Illuminating gravitational waves: A concordant picture of photons from a neutron star merger		0036-8075												WOS:000418448000051					Times Cited: 135","     Barnes J, 2016, ASTROPHYS J, V829, DOI 10.3847/0004-637X/829/2/110",Neal,"Fully Substantiated",No
"Science 21","S. Kattel, P. J. Ramirez, J. G. Chen, J. A. Rodriguez and P. Liu	2017	CATALYSIS Active sites for CO2 hydrogenation to methanol on Cu/ZnO catalysts		Science			355		6331	1296-+					Mar			CATALYSIS Active sites for CO2 hydrogenation to methanol on Cu/ZnO catalysts		0036-8075												WOS:000397082900035					Times Cited: 179","     Martin O, 2016, ANGEW CHEM INT EDIT, V55, P11031, DOI 10.1002/anie.201603204",Aaron,"Fully Substantiated",Yes
"Science 22","S. Kattel, P. J. Ramirez, J. G. Chen, J. A. Rodriguez and P. Liu	2017	CATALYSIS Active sites for CO2 hydrogenation to methanol on Cu/ZnO catalysts		Science			355		6331	1296-+					Mar			CATALYSIS Active sites for CO2 hydrogenation to methanol on Cu/ZnO catalysts		0036-8075												WOS:000397082900035					Times Cited: 179","     Studt F, 2015, CHEMCATCHEM, V7, P1105, DOI 10.1002/cctc.201500123",Neal,"Impossible to Substantiate",Yes
"Science 23","H. Kim, S. Yang, S. R. Rao, S. Narayanan, E. A. Kapustin, H. Furukawa, A. S. Umans, O. M. Yaghi and E. N. Wang	2017	Water harvesting from air with metal-organic frameworks powered by natural sunlight		Science			356		6336	430-432					Apr			Water harvesting from air with metal-organic frameworks powered by natural sunlight		0036-8075												WOS:000400143000052					Times Cited: 187","     de Lange MF, 2015, CHEM REV, V115, P12205, DOI 10.1021/acs.chemrev.5b00059",Aaron,"Fully Substantiated",No
"Science 24","H. Kim, S. Yang, S. R. Rao, S. Narayanan, E. A. Kapustin, H. Furukawa, A. S. Umans, O. M. Yaghi and E. N. Wang	2017	Water harvesting from air with metal-organic frameworks powered by natural sunlight		Science			356		6336	430-432					Apr			Water harvesting from air with metal-organic frameworks powered by natural sunlight		0036-8075												WOS:000400143000052					Times Cited: 187","     Seo YK, 2012, ADV MATER, V24, P806, DOI 10.1002/adma.201104084",Neal,"Fully Substantiated",No
"Science 25","T. Kitamura, S. K. Ogawa, D. S. Roy, T. Okuyama, M. D. Morrissey, L. M. Smith, R. L. Redondo and S. Tonegawa	2017	Engrams and circuits crucial for systems consolidation of a memory		Science			356		6333	73-+					Apr			Engrams and circuits crucial for systems consolidation of a memory		0036-8075												WOS:000398689100040					Times Cited: 111","     Hayashi-Takagi A, 2015, NATURE, V525, P333, DOI 10.1038/nature15257",Aaron,"Fully Substantiated",Yes
"Science 26","A. Patel, L. Malinovska, S. Saha, J. Wang, S. Alberti, Y. Krishnan and A. A. Hyman	2017	ATP as a biological hydrotrope		Science			356		6339	753-756					May			ATP as a biological hydrotrope		0036-8075												WOS:000401508400048					Times Cited: 104","     Clarke K, 1996, J BIOL CHEM, V271, P21142, DOI 10.1074/jbc.271.35.21142",Neal,"Impossible to Substantiate",No
"Science 27","G. T. Pecl, M. B. Araujo, J. D. Bell, J. Blanchard, T. C. Bonebrake, I. C. Chen, T. D. Clark, R. K. Colwell, F. Danielsen, B. Evengard, L. Falconi, S. Ferrier, S. Frusher, R. A. Garcia, R. B. Griffis, A. J. Hobday, C. Janion-Scheepers, M. A. Jarzyna, S. Jennings, J. Lenoir, H. I. Linnetved, V. Y. Martin, P. C. McCormack, J. McDonald, N. J. Mitchell, T. Mustonen, J. M. Pandolfi, N. Pettorelli, E. Popova, S. A. Robinson, B. R. Scheffers, J. D. Shaw, C. J. B. Sorte, J. M. Strugnell, J. M. Sunday, M. N. Tuanmu, A. Verges, C. Villanueva, T. Wernberg, E. Wapstra and S. E. Williams	2017	Biodiversity redistribution under climate change: Impacts on ecosystems and human well-being		Science			355		6332						Mar			Biodiversity redistribution under climate change: Impacts on ecosystems and human well-being		0036-8075										eaai9214		WOS:000397809500032					Times Cited: 246","     Reid WV, 2010, SCIENCE, V330, P916, DOI 10.1126/science.1196263",Aaron,Unsubstantiated,No
"Science 28","F. Reis, G. Li, L. Dudy, M. Bauernfeind, S. Glass, W. Hanke, R. Thomale, J. Schafer and R. Claessen	2017	Bismuthene on a SiC substrate: A candidate for a high-temperature quantum spin Hall material		Science			357		6348						Jul			Bismuthene on a SiC substrate: A candidate for a high-temperature quantum spin Hall material		0036-8075												WOS:000405901600037					Times Cited: 112","     Konig M, 2013, PHYS REV X, V3, DOI 10.1103/PhysRevX.3.021003",Neal,"Fully Substantiated",Yes
"Science 29","J. Rockstrom, O. Gaffney, J. Rogelj, M. Meinshausen, N. Nakicenovic and H. J. Schellnhuber	2017	CLIMATE POLICY A roadmap for rapid decarbonization		Science			355		6331	1269-1271					Mar			CLIMATE POLICY A roadmap for rapid decarbonization		0036-8075												WOS:000397082900021					Times Cited: 163","     Erb KH, 2016, NAT COMMUN, V7, DOI 10.1038/ncomms11382",Aaron,Unsubstantiated,No
