"File Names",Article,References,Reviewer,Category,"String Cite"
"Science Advances 02","G. Chen, W. Zhou, D. Q. Guan, J. Sunarso, Y. P. Zhu, X. F. Hu, W. Zhang and Z. P. Shao	2017	Two orders of magnitude enhancement in oxygen evolution reactivity on amorphous Ba0.5Sr0.5Co0.8Fe0.2O3-(delta) nanofilms with tunable oxidation state		Science Advances			3		6						Jun			Two orders of magnitude enhancement in oxygen evolution reactivity on amorphous Ba0.5Sr0.5Co0.8Fe0.2O3-(delta) nanofilms with tunable oxidation state		2375-2548										e1603206		WOS:000406370700038					Times Cited: 43","     Gong M, 2014, NAT COMMUN, V5, DOI 10.1038/ncomms5695",Neal,"Fully Substantiated",Yes
"Science Advances 03","G. Chen, W. Zhou, D. Q. Guan, J. Sunarso, Y. P. Zhu, X. F. Hu, W. Zhang and Z. P. Shao	2017	Two orders of magnitude enhancement in oxygen evolution reactivity on amorphous Ba0.5Sr0.5Co0.8Fe0.2O3-(delta) nanofilms with tunable oxidation state		Science Advances			3		6						Jun			Two orders of magnitude enhancement in oxygen evolution reactivity on amorphous Ba0.5Sr0.5Co0.8Fe0.2O3-(delta) nanofilms with tunable oxidation state		2375-2548										e1603206		WOS:000406370700038					Times Cited: 43","     Xu XM, 2016, ADV SCI, V3, DOI 10.1002/advs.201500187",Aaron,"Partially Substantiated",No
"Science Advances 04","L. J. Cheng, K. E. Trenberth, J. Fasullo, T. Boyer, J. Abraham and J. Zhu	2017	Improved estimates of ocean heat content from 1960 to 2015		Science Advances			3		3						Mar			Improved estimates of ocean heat content from 1960 to 2015		2375-2548										e1601545		WOS:000397044000014					Times Cited: 66","     Karl TR, 2015, SCIENCE, V348, P1469, DOI 10.1126/science.aaa5632",Neal,"Fully Substantiated",Yes
"Science Advances 05","S. Chmiela, A. Tkatchenko, H. E. Sauceda, I. Poltavsky, K. T. Schutt and K. R. Muller	2017	Machine learning of accurate energy-conserving molecular force fields		Science Advances			3		5						May			Machine learning of accurate energy-conserving molecular force fields		2375-2548										1603015		WOS:000401955300043					Times Cited: 75","     Behler J, 2016, J CHEM PHYS, V145, DOI 10.1063/1.4966192",Aaron,"Fully Substantiated",Yes
"Science Advances 06","A. Diaz-Rubio, V. S. Asadchy, A. Elsakka and S. A. Tretyakov	2017	From the generalized reflection law to the realization of perfect anomalous reflectors		Science Advances			3		8						Aug			From the generalized reflection law to the realization of perfect anomalous reflectors		2375-2548										e1602714		WOS:000411589900027					Times Cited: 52","     Epstein A, 2016, PHYS REV LETT, V117, DOI 10.1103/PhysRevLett.117.256103",Neal,"Fully Substantiated",Yes
"Science Advances 07","A. Estrada, P. A. Garber, A. B. Rylands, C. Roos, E. Fernandez-Duque, A. Di Fiore, K. A. I. Nekaris, V. Nijman, E. W. Heymann, J. E. Lambert, F. Rovero, C. Barelli, J. M. Setchell, T. R. Gillespie, R. A. Mittermeier, L. V. Arregoitia, M. de Guinea, S. Gouveia, R. Dobrovolski, S. Shanee, N. Shanee, S. A. Boyle, A. Fuentes, K. C. MacKinnon, K. R. Amato, A. L. S. Meyer, S. Wich, R. W. Sussman, R. L. Pan, I. Kone and B. G. Li	2017	Impending extinction crisis of the world's primates: Why primates matter		Science Advances			3		1						Jan			Impending extinction crisis of the world's primates: Why primates matter		2375-2548										e1600946		WOS:000393789900009					Times Cited: 120","     Chapman CA, 2013, INT J PRIMATOL, V34, P1, DOI 10.1007/s10764-012-9645-9",Aaron,Unsubstantiated,Yes
"Science Advances 08","A. Estrada, P. A. Garber, A. B. Rylands, C. Roos, E. Fernandez-Duque, A. Di Fiore, K. A. I. Nekaris, V. Nijman, E. W. Heymann, J. E. Lambert, F. Rovero, C. Barelli, J. M. Setchell, T. R. Gillespie, R. A. Mittermeier, L. V. Arregoitia, M. de Guinea, S. Gouveia, R. Dobrovolski, S. Shanee, N. Shanee, S. A. Boyle, A. Fuentes, K. C. MacKinnon, K. R. Amato, A. L. S. Meyer, S. Wich, R. W. Sussman, R. L. Pan, I. Kone and B. G. Li	2017	Impending extinction crisis of the world's primates: Why primates matter		Science Advances			3		1						Jan			Impending extinction crisis of the world's primates: Why primates matter		2375-2548										e1600946		WOS:000393789900009					Times Cited: 120","     Mercer B., 2015, TROPICAL FORESTS REV",Neal,"Fully Substantiated",Yes
"Science Advances 09","A. Estrada, P. A. Garber, A. B. Rylands, C. Roos, E. Fernandez-Duque, A. Di Fiore, K. A. I. Nekaris, V. Nijman, E. W. Heymann, J. E. Lambert, F. Rovero, C. Barelli, J. M. Setchell, T. R. Gillespie, R. A. Mittermeier, L. V. Arregoitia, M. de Guinea, S. Gouveia, R. Dobrovolski, S. Shanee, N. Shanee, S. A. Boyle, A. Fuentes, K. C. MacKinnon, K. R. Amato, A. L. S. Meyer, S. Wich, R. W. Sussman, R. L. Pan, I. Kone and B. G. Li	2017	Impending extinction crisis of the world's primates: Why primates matter		Science Advances			3		1						Jan			Impending extinction crisis of the world's primates: Why primates matter		2375-2548										e1600946		WOS:000393789900009					Times Cited: 120","     Silveira JM, 2016, BIOTROPICA, V48, P170, DOI 10.1111/btp.12267",Aaron,"Fully Substantiated",Yes
"Science Advances 10","A. Estrada, P. A. Garber, A. B. Rylands, C. Roos, E. Fernandez-Duque, A. Di Fiore, K. A. I. Nekaris, V. Nijman, E. W. Heymann, J. E. Lambert, F. Rovero, C. Barelli, J. M. Setchell, T. R. Gillespie, R. A. Mittermeier, L. V. Arregoitia, M. de Guinea, S. Gouveia, R. Dobrovolski, S. Shanee, N. Shanee, S. A. Boyle, A. Fuentes, K. C. MacKinnon, K. R. Amato, A. L. S. Meyer, S. Wich, R. W. Sussman, R. L. Pan, I. Kone and B. G. Li	2017	Impending extinction crisis of the world's primates: Why primates matter		Science Advances			3		1						Jan			Impending extinction crisis of the world's primates: Why primates matter		2375-2548										e1600946		WOS:000393789900009					Times Cited: 120","     TATTERSALL I, 1987, FOLIA PRIMATOL, V49, P200, DOI 10.1159/000156323",Neal,"Fully Substantiated",Yes
"Science Advances 11","K. K. Fu, Y. H. Gong, B. Y. Liu, Y. Z. Zhu, S. M. Xu, Y. G. Yao, W. Luo, C. W. Wang, S. D. Lacey, J. Q. Dai, Y. N. Chen, Y. F. Mo, E. Wachsman and L. B. Hu	2017	Toward garnet electrolyte-based Li metal batteries: An ultrathin, highly effective, artificial solid-state electrolyte/metallic Li interface		Science Advances			3		4						Apr			Toward garnet electrolyte-based Li metal batteries: An ultrathin, highly effective, artificial solid-state electrolyte/metallic Li interface		2375-2548										e1601659		WOS:000401954800011					Times Cited: 120","     Liu YY, 2016, NAT COMMUN, V7, DOI 10.1038/ncomms10992",Aaron,"Fully Substantiated",Yes
"Science Advances 12","K. K. Fu, Y. H. Gong, B. Y. Liu, Y. Z. Zhu, S. M. Xu, Y. G. Yao, W. Luo, C. W. Wang, S. D. Lacey, J. Q. Dai, Y. N. Chen, Y. F. Mo, E. Wachsman and L. B. Hu	2017	Toward garnet electrolyte-based Li metal batteries: An ultrathin, highly effective, artificial solid-state electrolyte/metallic Li interface		Science Advances			3		4						Apr			Toward garnet electrolyte-based Li metal batteries: An ultrathin, highly effective, artificial solid-state electrolyte/metallic Li interface		2375-2548										e1601659		WOS:000401954800011					Times Cited: 120","     Qian JF, 2015, NAT COMMUN, V6, DOI 10.1038/ncomms7362",Neal,"Fully Substantiated",Yes
"Science Advances 13","P. F. Hoffman, D. S. Abbot, Y. Ashkenazy, D. I. Benn, J. J. Brocks, P. A. Cohen, G. M. Cox, J. R. Creveling, Y. Donnadieu, D. H. Erwin, I. J. Fairchild, D. Ferreira, J. C. Goodman, G. P. Halverson, M. F. Jansen, G. Le Hir, G. D. Love, F. A. Macdonald, A. C. Maloof, C. A. Partin, G. Ramstein, B. E. J. Rose, C. V. Rose, P. M. Sadler, E. Tziperman, A. Voigt and S. G. Warren	2017	Snowball Earth climate dynamics and Cryogenian geology-geobiology		Science Advances			3		11						Nov			Snowball Earth climate dynamics and Cryogenian geology-geobiology		2375-2548										e1600983		WOS:000418002000002					Times Cited: 39","     Feng LJ, 2010, GONDWANA RES, V18, P632, DOI 10.1016/j.gr.2010.02.011",Aaron,"Fully Substantiated",Yes
"Science Advances 14","P. F. Hoffman, D. S. Abbot, Y. Ashkenazy, D. I. Benn, J. J. Brocks, P. A. Cohen, G. M. Cox, J. R. Creveling, Y. Donnadieu, D. H. Erwin, I. J. Fairchild, D. Ferreira, J. C. Goodman, G. P. Halverson, M. F. Jansen, G. Le Hir, G. D. Love, F. A. Macdonald, A. C. Maloof, C. A. Partin, G. Ramstein, B. E. J. Rose, C. V. Rose, P. M. Sadler, E. Tziperman, A. Voigt and S. G. Warren	2017	Snowball Earth climate dynamics and Cryogenian geology-geobiology		Science Advances			3		11						Nov			Snowball Earth climate dynamics and Cryogenian geology-geobiology		2375-2548										e1600983		WOS:000418002000002					Times Cited: 39","     Hoffman PF, 2011, GEOL SOC MEM, V36, P397, DOI 10.1144/M36.36",Neal,"Fully Substantiated",No
"Science Advances 15","P. F. Hoffman, D. S. Abbot, Y. Ashkenazy, D. I. Benn, J. J. Brocks, P. A. Cohen, G. M. Cox, J. R. Creveling, Y. Donnadieu, D. H. Erwin, I. J. Fairchild, D. Ferreira, J. C. Goodman, G. P. Halverson, M. F. Jansen, G. Le Hir, G. D. Love, F. A. Macdonald, A. C. Maloof, C. A. Partin, G. Ramstein, B. E. J. Rose, C. V. Rose, P. M. Sadler, E. Tziperman, A. Voigt and S. G. Warren	2017	Snowball Earth climate dynamics and Cryogenian geology-geobiology		Science Advances			3		11						Nov			Snowball Earth climate dynamics and Cryogenian geology-geobiology		2375-2548										e1600983		WOS:000418002000002					Times Cited: 39","     Jansen MF, 2016, J PHYS OCEANOGR, V46, P1917, DOI 10.1175/JPO-D-15-0224.1",Aaron,"Fully Substantiated",Yes
"Science Advances 16","P. F. Hoffman, D. S. Abbot, Y. Ashkenazy, D. I. Benn, J. J. Brocks, P. A. Cohen, G. M. Cox, J. R. Creveling, Y. Donnadieu, D. H. Erwin, I. J. Fairchild, D. Ferreira, J. C. Goodman, G. P. Halverson, M. F. Jansen, G. Le Hir, G. D. Love, F. A. Macdonald, A. C. Maloof, C. A. Partin, G. Ramstein, B. E. J. Rose, C. V. Rose, P. M. Sadler, E. Tziperman, A. Voigt and S. G. Warren	2017	Snowball Earth climate dynamics and Cryogenian geology-geobiology		Science Advances			3		11						Nov			Snowball Earth climate dynamics and Cryogenian geology-geobiology		2375-2548										e1600983		WOS:000418002000002					Times Cited: 39","     Labrosse S, 2015, PHYS EARTH PLANET IN, V247, P36, DOI 10.1016/j.pepi.2015.02.002",Neal,"Fully Substantiated",Yes
"Science Advances 17","P. F. Hoffman, D. S. Abbot, Y. Ashkenazy, D. I. Benn, J. J. Brocks, P. A. Cohen, G. M. Cox, J. R. Creveling, Y. Donnadieu, D. H. Erwin, I. J. Fairchild, D. Ferreira, J. C. Goodman, G. P. Halverson, M. F. Jansen, G. Le Hir, G. D. Love, F. A. Macdonald, A. C. Maloof, C. A. Partin, G. Ramstein, B. E. J. Rose, C. V. Rose, P. M. Sadler, E. Tziperman, A. Voigt and S. G. Warren	2017	Snowball Earth climate dynamics and Cryogenian geology-geobiology		Science Advances			3		11						Nov			Snowball Earth climate dynamics and Cryogenian geology-geobiology		2375-2548										e1600983		WOS:000418002000002					Times Cited: 39","     Murray AE, 2012, P NATL ACAD SCI USA, V109, P20626, DOI 10.1073/pnas.1208607109",Aaron,"Partially Substantiated",Yes
"Science Advances 18","T. Hosokai, H. Matsuzaki, H. Nakanotani, K. Tokumaru, T. Tsutsui, A. Furube, K. Nasu, H. Nomura, M. Yahiro and C. Adachi	2017	Evidence and mechanism of efficient thermally activated delayed fluorescence promoted by delocalized excited states		Science Advances			3		5						May			Evidence and mechanism of efficient thermally activated delayed fluorescence promoted by delocalized excited states		2375-2548										e1603282		WOS:000401955300054					Times Cited: 36","     Dias FB, 2016, ADV SCI, V3, DOI 10.1002/advs.201600080",Neal,"Fully Substantiated",Yes
"Science Advances 19","X. F. Hu, Z. F. Li, Y. R. Zhao, J. C. Sun, Q. Zhao, J. B. Wang, Z. L. Tao and J. Chen	2017	Quasi-solid state rechargeable Na-CO2 batteries with reduced graphene oxide Na anodes		Science Advances			3		2						Feb			Quasi-solid state rechargeable Na-CO2 batteries with reduced graphene oxide Na anodes		2375-2548										e1602396		WOS:000397039500011					Times Cited: 49","     Park JU, 2012, NAT MATER, V11, P120, DOI [10.1038/NMAT3169, 10.1038/nmat3169]",Aaron,"Fully Substantiated",Yes
"Science Advances 20","J. Kim, L. G. Ahuja, F. A. Chao, Y. L. Xia, C. L. McClendon, A. P. Kornev, S. S. Taylor and G. Veglia	2017	A dynamic hydrophobic core orchestrates allostery in protein kinases		Science Advances			3		4						Apr			A dynamic hydrophobic core orchestrates allostery in protein kinases		2375-2548										e1600663		WOS:000401954800002					Times Cited: 52","     Masterson LR, 2008, P NATL ACAD SCI USA, V105, P506, DOI 10.1073/pnas.0709214104",Neal,"Fully Substantiated",Yes
"Science Advances 21","C. C. M. Kyba, T. Kuester, A. S. de Miguel, K. Baugh, A. Jechow, F. Holker, J. Bennie, C. D. Elvidge, K. J. Gaston and L. Guanter	2017	Artificially lit surface of Earth at night increasing in radiance and extent		Science Advances			3		11						Nov			Artificially lit surface of Earth at night increasing in radiance and extent		2375-2548										e1701528		WOS:000418002000029					Times Cited: 73","     Kinzey B., 2017, PNNL26411 US DEP EN",Aaron,"Fully Substantiated",Yes
"Science Advances 22","C. C. M. Kyba, T. Kuester, A. S. de Miguel, K. Baugh, A. Jechow, F. Holker, J. Bennie, C. D. Elvidge, K. J. Gaston and L. Guanter	2017	Artificially lit surface of Earth at night increasing in radiance and extent		Science Advances			3		11						Nov			Artificially lit surface of Earth at night increasing in radiance and extent		2375-2548										e1701528		WOS:000418002000029					Times Cited: 73","     Tsao JY, 2010, J PHYS D APPL PHYS, V43, DOI 10.1088/0022-3727/43/35/354001",Neal,"Fully Substantiated",No
"Science Advances 23","C. C. M. Kyba, T. Kuester, A. S. de Miguel, K. Baugh, A. Jechow, F. Holker, J. Bennie, C. D. Elvidge, K. J. Gaston and L. Guanter	2017	Artificially lit surface of Earth at night increasing in radiance and extent		Science Advances			3		11						Nov			Artificially lit surface of Earth at night increasing in radiance and extent		2375-2548										e1701528		WOS:000418002000029					Times Cited: 73","     Wang ZP, 2017, J GEOPHYS RES-ATMOS, V122, P5616, DOI 10.1002/2016JD026372",Aaron,"Fully Substantiated",No
"Science Advances 24","H. Lee, C. Song, Y. S. Hong, M. S. Kim, H. R. Cho, T. Kang, K. Shin, S. H. Choi, T. Hyeon and D. H. Kim	2017	Wearable/disposable sweat-based glucose monitoring device with multistage transdermal drug delivery module		Science Advances			3		3						Mar			Wearable/disposable sweat-based glucose monitoring device with multistage transdermal drug delivery module		2375-2548										e1601314		WOS:000397044000018					Times Cited: 127","     Jang KI, 2015, NAT COMMUN, V6, DOI 10.1038/ncomms7566",Neal,"Fully Substantiated",Yes
"Science Advances 25","B. Lekitsch, S. Weidt, A. G. Fowler, K. Molmer, S. J. Devitt, C. Wunderlich and W. K. Hensinger	2017	Blueprint for a microwave trapped ion quantum computer		Science Advances			3		2						Feb			Blueprint for a microwave trapped ion quantum computer		2375-2548										e1601540		WOS:000397039500005					Times Cited: 44","     Walther A, 2012, PHYS REV LETT, V109, DOI 10.1103/PhysRevLett.109.080501",Aaron,"Impossible to Substantiate",Yes
"Science Advances 26","J. J. Mao, W. X. Chen, D. S. He, J. W. Wan, J. J. Pei, J. C. Dong, Y. Wang, P. F. An, Z. Jin, W. Xing, H. L. Tang, Z. B. Zhuang, X. Liang, Y. Huang, G. Zhou, L. Y. Wang, D. S. Wang and Y. D. Li	2017	Design of ultrathin Pt-Mo-Ni nanowire catalysts for ethanol electrooxidation		Science Advances			3		8						Aug			Design of ultrathin Pt-Mo-Ni nanowire catalysts for ethanol electrooxidation		2375-2548										e1603068		WOS:000411589900071					Times Cited: 36","     Xiao QF, 2012, NANO RES, V5, P145, DOI 10.1007/s12274-012-0191-8",Neal,"Fully Substantiated",Yes
"Science Advances 27","A. Maziz, A. Concas, A. Khaldi, J. Stalhand, N. K. Persson and E. W. H. Jager	2017	Knitting and weaving artificial muscles		Science Advances			3		1						Jan			Knitting and weaving artificial muscles		2375-2548										e1600327		WOS:000393789900001					Times Cited: 40","     Hara S, 2005, SYNTHETIC MET, V149, P199, DOI 10.1016/j.synthmet.2005.01.003",Aaron,"Fully Substantiated",Yes
"Science Advances 28","K. Miyata, T. L. Atallah and X. Y. Zhu	2017	Lead halide perovskites: Crystal-liquid duality, phonon glass electron crystals, and large polaron formation		Science Advances			3		10						Oct			Lead halide perovskites: Crystal-liquid duality, phonon glass electron crystals, and large polaron formation		2375-2548										UNSP e1701469		WOS:000417998700039					Times Cited: 34","     Lee W, 2017, P NATL ACAD SCI USA, V114, P8693, DOI 10.1073/pnas.1711744114",Neal,"Fully Substantiated",Yes
"Science Advances 29","J. W. Nai, B. Y. Guan, L. Yu and X. W. Lou	2017	Oriented assembly of anisotropic nanoparticles into frame-like superstructures		Science Advances			3		8						Aug			Oriented assembly of anisotropic nanoparticles into frame-like superstructures		2375-2548										e1700732		WOS:000411589900050					Times Cited: 39","     Macfarlane RJ, 2011, SCIENCE, V334, P204, DOI 10.1126/science.1210493",Aaron,Unsubstantiated,Yes
"Science Advances 30","L. Peel, D. B. Larremore and A. Clauset	2017	The ground truth about metadata and community detection in networks		Science Advances			3		5						May			The ground truth about metadata and community detection in networks		2375-2548										e1602548		WOS:000401955300026					Times Cited: 35","     Decelle A, 2011, PHYS REV LETT, V107, DOI 10.1103/PhysRevLett.107.065701",Neal,"Fully Substantiated",No
"Science Advances 31","L. Peel, D. B. Larremore and A. Clauset	2017	The ground truth about metadata and community detection in networks		Science Advances			3		5						May			The ground truth about metadata and community detection in networks		2375-2548										e1602548		WOS:000401955300026					Times Cited: 35","     Fosdick BK, 2015, J AM STAT ASSOC, V110, P1047, DOI 10.1080/01621459.2015.1008697",Aaron,"Fully Substantiated",No
"Science Advances 32","J. Rivnay, H. L. Wang, L. Fenno, K. Deisseroth and G. G. Malliaras	2017	Next-generation probes, particles, and proteins for neural interfacing		Science Advances			3		6						Jun			Next-generation probes, particles, and proteins for neural interfacing		2375-2548										e1601649		WOS:000406370700002					Times Cited: 55","     Angle MR, 2015, CURR OPIN NEUROBIOL, V32, P132, DOI 10.1016/j.conb.2015.03.014",Neal,"Fully Substantiated",Yes
"Science Advances 33","S. Sanvito, C. Oses, J. K. Xue, A. Tiwari, M. Zic, T. Archer, P. Tozman, M. Venkatesan, M. Coey and S. Curtarolo	2017	Accelerated discovery of new magnets in the Heusler alloy family		Science Advances			3		4						Apr			Accelerated discovery of new magnets in the Heusler alloy family		2375-2548										e1602241		WOS:000401954800024					Times Cited: 40","     WEBSTER PJ, 1967, PHILOS MAG, V16, P347, DOI 10.1080/14786436708229747",Aaron,"Fully Substantiated",Yes
"Science Advances 34","M. S. Sarwar, Y. Dobashi, C. Preston, J. K. M. Wyss, S. Mirabbasi and J. D. W. Madden	2017	Bend, stretch, and touch: Locating a finger on an actively deformed transparent sensor array		Science Advances			3		3						Mar			Bend, stretch, and touch: Locating a finger on an actively deformed transparent sensor array		2375-2548										e1602200		WOS:000397044000028					Times Cited: 44","     Kim CC, 2016, SCIENCE, V353, P682, DOI 10.1126/science.aaf8810",Neal,"Fully Substantiated",No
"Science Advances 35","S. P. Senanayak, B. Y. Yang, T. H. Thomas, N. Giesbrecht, W. C. Huang, E. Gann, B. Nair, K. Goedel, S. Guha, X. Moya, C. R. McNeill, P. Docampo, A. Sadhanala, R. H. Friend and H. Sirringhaus	2017	Understanding charge transport in lead iodide perovskite thin-film field-effect transistors		Science Advances			3		1						Jan			Understanding charge transport in lead iodide perovskite thin-film field-effect transistors		2375-2548										UNSP e1601935		WOS:000393789900031					Times Cited: 83","     Hoque MNF, 2016, ACS ENERGY LETT, V1, P142, DOI 10.1021/acsenergylett.6b00093",Aaron,"Fully Substantiated",Yes
"Science Advances 36","J. Shin, F. G. Jiang, J. J. Liu, N. L. Bray, B. J. Rauch, S. H. Baik, E. Nogales, J. Bondy-Denomy, J. E. Corn and J. A. Doudna	2017	Disabling Cas9 by an anti-CRISPR DNA mimic		Science Advances			3		7						Jul			Disabling Cas9 by an anti-CRISPR DNA mimic		2375-2548										e1701620		WOS:000411588000029					Times Cited: 67","     Rohou A, 2015, J STRUCT BIOL, V192, P216, DOI 10.1016/j.jsb.2015.08.008",Neal,"Impossible to Substantiate",Yes
"Science Advances 37","K. Thorup, A. P. Tottrup, M. Willemoes, R. H. G. Klaassen, R. Strandberg, M. L. Vega, H. P. Dasari, M. B. Araujo, M. Wikelski and C. Rahbek	2017	Resource tracking within and across continents in long-distance bird migrants		Science Advances			3		1						Jan			Resource tracking within and across continents in long-distance bird migrants		2375-2548										e1601360		WOS:000393789900013					Times Cited: 40","     Oppel S, 2015, IBIS, V157, P545, DOI 10.1111/ibi.12258",Aaron,Unsubstantiated,Yes
"Science Advances 38","J. E. Tierney, F. S. R. Pausata and P. B. deMenocal	2017	Rainfall regimes of the Green Sahara		Science Advances			3		1						Jan			Rainfall regimes of the Green Sahara		2375-2548										e1601503		WOS:000393789900017					Times Cited: 50","     Braconnot P, 2007, CLIM PAST, V3, P261, DOI 10.5194/cp-3-261-2007",Neal,"Fully Substantiated",Yes
"Science Advances 39","Y. Wang, C. X. Zhu, R. Pfattner, H. P. Yan, L. H. Jin, S. C. Chen, F. Molina-Lopez, F. Lissel, J. Liu, N. I. Rabiah, Z. Chen, J. W. Chung, C. Linder, M. F. Toney, B. Murmann and Z. Bao	2017	A highly stretchable, transparent, and conductive polymer		Science Advances			3		3						Mar			A highly stretchable, transparent, and conductive polymer		2375-2548										e1602076		WOS:000397044000024					Times Cited: 170","     Craciun NI, 2008, PHYS REV LETT, V100, DOI 10.1103/PhysRevLett.100.056601",Aaron,"Fully Substantiated",No
"Science Advances 40","Y. Xiao, E. H. Zhang, J. D. Zhang, Y. F. Dai, Z. H. Yang, H. E. M. Christensen, J. Ulstrup and F. Zhao	2017	Extracellular polymeric substances are transient media for microbial extracellular electron transfer		Science Advances			3		7						Jul			Extracellular polymeric substances are transient media for microbial extracellular electron transfer		2375-2548										e1700623		WOS:000411588000011					Times Cited: 36","     IMOTO T, 1971, AGR BIOL CHEM TOKYO, V35, P1154, DOI 10.1080/00021369.1971.10860050",Neal,"Impossible to Substantiate",No
"Science Advances 41","S. Y. Xu, N. Alidoust, G. Q. Chang, H. Lu, B. Singh, I. Belopolski, D. S. Sanchez, X. Zhang, G. Bian, H. Zheng, M. A. Husanu, Y. Bian, S. M. Huang, C. H. Hsu, T. R. Chang, H. T. Jeng, A. Bansil, T. Neupert, V. N. Strocov, H. Lin, S. A. Jia and M. Z. Hasan	2017	Discovery of Lorentz-violating type II Weyl fermions in LaAlGe		Science Advances			3		6						Jun			Discovery of Lorentz-violating type II Weyl fermions in LaAlGe		2375-2548										e1603266		WOS:000406370700042					Times Cited: 38","     Murakami S, 2007, NEW J PHYS, V9, DOI 10.1088/1367-2630/9/9/356",Aaron,"Fully Substantiated",Yes
"Science Advances 42","S. Y. Xu, N. Alidoust, G. Q. Chang, H. Lu, B. Singh, I. Belopolski, D. S. Sanchez, X. Zhang, G. Bian, H. Zheng, M. A. Husanu, Y. Bian, S. M. Huang, C. H. Hsu, T. R. Chang, H. T. Jeng, A. Bansil, T. Neupert, V. N. Strocov, H. Lin, S. A. Jia and M. Z. Hasan	2017	Discovery of Lorentz-violating type II Weyl fermions in LaAlGe		Science Advances			3		6						Jun			Discovery of Lorentz-violating type II Weyl fermions in LaAlGe		2375-2548										e1603266		WOS:000406370700042					Times Cited: 38","     O'Brien TE, 2016, PHYS REV LETT, V116, DOI 10.1103/PhysRevLett.116.236401",Neal,"Fully Substantiated",Yes
"Science Advances 43","E. C. Yeh, C. C. Fu, L. Hu, R. Thakur, J. Feng and L. P. Lee	2017	Self-powered integrated microfluidic point-of-care low-cost enabling (SIMPLE) chip		Science Advances			3		3						Mar			Self-powered integrated microfluidic point-of-care low-cost enabling (SIMPLE) chip		2375-2548										e1501645		WOS:000397044000041					Times Cited: 39","     Heyries KA, 2011, NAT METHODS, V8, P649, DOI [10.1038/NMETH.1640, 10.1038/nmeth.1640]",Aaron,"Impossible to Substantiate",Yes
"Science Advances 44","E. C. Yeh, C. C. Fu, L. Hu, R. Thakur, J. Feng and L. P. Lee	2017	Self-powered integrated microfluidic point-of-care low-cost enabling (SIMPLE) chip		Science Advances			3		3						Mar			Self-powered integrated microfluidic point-of-care low-cost enabling (SIMPLE) chip		2375-2548										e1501645		WOS:000397044000041					Times Cited: 39","     Jenkins G., 2013, MICROFLUIDIC DIAGNOS",Neal,"Fully Substantiated",Yes
"Science Advances 45","Y. Zhang, C. Z. Long, H. Li, J. R. McAnally, K. K. Baskin, J. M. Shelton, R. Bassel-Duby and E. N. Olson	2017	CRISPR-Cpf1 correction of muscular dystrophy mutations in human cardiomyocytes and mice		Science Advances			3		4						Apr			CRISPR-Cpf1 correction of muscular dystrophy mutations in human cardiomyocytes and mice		2375-2548										e1602814		WOS:000401954800052					Times Cited: 66","     Wu YX, 2013, CELL STEM CELL, V13, P659, DOI 10.1016/j.stem.2013.10.016",Aaron,"Fully Substantiated",Yes
"Science Advances 46","J. J. Zhao, Y. H. Deng, H. T. Wei, X. P. Zheng, Z. H. Yu, Y. C. Shao, J. E. Shield and J. S. Huang	2017	Strained hybrid perovskite thin films and their impact on the intrinsic stability of perovskite solar cells		Science Advances			3		11						Nov			Strained hybrid perovskite thin films and their impact on the intrinsic stability of perovskite solar cells		2375-2548										eaao5616		WOS:000418002000060					Times Cited: 54","     Hu Q, 2017, NAT COMMUN, V8, DOI 10.1038/ncomms15688",Neal,Unsubstantiated,No
"Science Advances 47","Z. Zhao, J. T. Wu, X. M. Mu, H. S. Chen, H. J. Qi and D. N. Fang	2017	Origami by frontal photopolymerization		Science Advances			3		4						Apr			Origami by frontal photopolymerization		2375-2548										e1602326		WOS:000401954800027					Times Cited: 52","     Gracias DH, 2013, CURR OPIN CHEM ENG, V2, P112, DOI 10.1016/j.coche.2012.10.003",Aaron,"Fully Substantiated",Yes
"Science Advances 48","J. Zscheischler and S. I. Seneviratne	2017	Dependence of drivers affects risks associated with compound events		Science Advances			3		6						Jun			Dependence of drivers affects risks associated with compound events		2375-2548										e1700263		WOS:000406370700059					Times Cited: 37","     Horton RM, 2016, CURR CLIM CHANGE REP, V2, P242, DOI 10.1007/s40641-016-0042-x",Neal,"Fully Substantiated",No
"Science Advances 49","L. J. Zuo, H. X. Guo, D. W. deQuilettes, S. Jariwala, N. De Marco, S. Q. Dong, R. DeBlock, D. S. Ginger, B. Dunn, M. K. Wang and Y. Yang	2017	Polymer-modified halide perovskite films for efficient and stable planar heterojunction solar cells		Science Advances			3		8						Aug			Polymer-modified halide perovskite films for efficient and stable planar heterojunction solar cells		2375-2548										UNSP e1700106		WOS:000411589900058					Times Cited: 98","     Chaudhary B, 2017, CHEMSUSCHEM, V10, P2473, DOI 10.1002/cssc.201700271",Aaron,Unsubstantiated,No
